Covariate,Beta,HR,p.val,LB,UB,logLB,logUB
Gender.female,-0.009243576804695482,0.9907990137207554,0.9069188202442784,0.8485819610388938,1.1568507588685675,-0.16418860375909153,0.14570145014970043
TCGA.tumor.type_brca,-1.963563051590286,0.14035742816192318,3.4964062431932717e-15,0.08608128745579424,0.22885586661730836,-2.4524632261773243,-1.4746628770032477
TCGA.tumor.type_coadread,-1.3657918219067837,0.25517854001266915,1.1081444886869859e-4,0.1276728028127405,0.5100231674125936,-2.058284515817262,-0.6732991279963056
TCGA.tumor.type_gbm,0.8940177561487245,2.4449330891430905,6.490237563556562e-5,1.5766861586318757,3.7913048057539562,0.455325276527945,1.332710235769504
TCGA.tumor.type_hnsc,-0.9766185825529954,0.3765823304201431,9.453951704007133e-6,0.24444326457564344,0.5801520112687791,-1.408772043719602,-0.5444651213863887
TCGA.tumor.type_kirc,-1.258922567344795,0.2839598093113139,3.6877382667277795e-8,0.18138639523958705,0.4445381540198326,-1.7071257427928759,-0.8107193918967142
TCGA.tumor.type_laml,0.43175213870070095,1.5399533730096344,0.0757933681577692,0.9561689008734057,2.4801647375035523,-0.04482070698207513,0.9083249843834771
TCGA.tumor.type_luad,-0.252243468852831,0.7770555262187303,0.3095936581156221,0.4776820138821734,1.2640528076822395,-0.7388100107872617,0.2343230730815996
TCGA.tumor.type_lusc,-0.26959182554058136,0.7636911499498891,0.24284305405059786,0.48577214609327973,1.2006126271385498,-0.7220156002182412,0.18283194913707843
TCGA.tumor.type_ov,-1.079776674199816,0.33967137455663693,4.7144813797130245e-6,0.21392110938693343,0.5393420173626047,-1.5421479796521727,-0.6174053687474595
TCGA.tumor.type_ucec,-2.186479020582804,0.1123114997331063,9.740192258585136e-12,0.05986066826944736,0.21072055052111072,-2.8157356127467397,-1.557222428418869
